Approach,Category,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,F1 CI95 Low,F1 CI95 High,ROC-AUC Mean,Training Time Mean (s),Run Success Rate,F1 p-value vs Best
Statistical (Z-score + IQR),statistical,0.2857142857142857,0.0,0.7894736842105263,0.0,0.4195804195804196,0.0,0.4195804195804196,0.4195804195804196,0.794996751137102,0.0010848045349121094,1.0,
Statistical (MAD),statistical,0.6896551724137931,0.0,0.5263157894736842,0.0,0.5970149253731343,0.0,0.5970149253731343,0.5970149253731343,0.7353801169590642,0.0,1.0,1.0
Tree-Based (Isolation Forest),tree,0.3373493975903614,0.0,0.7368421052631579,0.0,0.4628099173553719,0.0,0.4628099173553719,0.4628099173553719,0.7664879792072774,0.06814432144165039,1.0,
